HashFunc: BKDRHash    Op: Insert    Key: Apolloship    LF: 1.664122     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: administratorship    LF: 1.671756     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: heteronomy    LF: 1.679389     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: manducate    LF: 1.687023     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: unfinite    LF: 1.694656     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: engrapple    LF: 1.702290     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: archetypal    LF: 1.709924     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: clunk    LF: 1.717557     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: kinetogram    LF: 1.725191     OCC([min, max] depth): [0, 6]
HashFunc: BKDRHash    Op: Insert    Key: overstowed    LF: 1.732824     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: cholecystokinin    LF: 1.740458     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: orthopedia    LF: 1.748092     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: bisiliac    LF: 1.755725     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: concession    LF: 1.763359     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: oscillometer    LF: 1.770992     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: iridomalacia    LF: 1.778626     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: unconfining    LF: 1.786260     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: abnormalize    LF: 1.793893     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: occlusocervically    LF: 1.801527     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: bellyman    LF: 1.809160     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: parachronism    LF: 1.816794     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: thelyotokous    LF: 1.824427     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: retiarian    LF: 1.832061     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: polyp    LF: 1.839695     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: spoony    LF: 1.847328     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: nattle    LF: 1.854962     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: kitar    LF: 1.862595     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: unextorted    LF: 1.870229     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: operationist    LF: 1.877863     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: genipapada    LF: 1.885496     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: revivably    LF: 1.893130     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: nonmalignant    LF: 1.900763     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: Coelomata    LF: 1.908397     OCC([min, max] depth): [0, 7]
HashFunc: BKDRHash    Op: Insert    Key: Bromian    LF: 1.916031     OCC([min, max] depth): [0, 7]
